,Unnamed: 0,player,position,sportingnews,CBS,si_rank,ds1_rank,ds2_rank,JacobK,FATSAK,GoPats1287,JustinB,Saucey19,Pouhy,Logantooreal,rayt,username2003,VFarm1990,bkru3813,emt6000,Jackd1305,Kamikaze_Justice,reuter,bleacher,si2_rank,drafttek
27,27.0,A.J. Terrell,CB,28.0,19,38.0,32.0,46.0,,33.0,42.0,41.0,41.0,41.0,34.0,,32.0,31.0,35.0,41.0,34.0,31.0,19.0,,38.0,38.0
28,28.0,Josh Jones,OT,29.0,18,30.0,23.0,27.0,43.0,,,17.0,,,69.0,43.0,54.0,,,,,22.0,,35.0,30.0,28.0
29,29.0,Jalen Reagor,WR,30.0,37,42.0,46.0,50.0,55.0,37.0,82.0,61.0,82.0,,37.0,55.0,44.0,69.0,24.0,,51.0,56.0,55.0,,43.0,42.0
30,30.0,Brandon Aiyuk,WR,31.0,60,35.0,,,,,,,,,,,,,,,,38.0,41.0,,36.0,54.0
31,31.0,Yetur Gross-Matos,EDGE,32.0,40,33.0,20.0,16.0,18.0,9.0,14.0,13.0,11.0,7.0,33.0,23.0,9.0,2.0,17.0,7.0,9.0,17.0,,25.0,31.0,25.0
32,32.0,Laviska Shenault Jr.,WR,33.0,42,,,,,,,,,,,,,,,,,,,22.0,,
33,33.0,Jeff Gladney,CB,34.0,43,36.0,96.0,81.0,67.0,,,80.0,,,35.0,67.0,,,,,,98.0,34.0,,27.0,58.0
34,34.0,Ross Blacklock,DT,35.0,31,41.0,49.0,53.0,62.0,,,50.0,,,45.0,62.0,,,,,,20.0,30.0,77.0,41.0,34.0
35,35.0,Cesar Ruiz,G,36.0,26,43.0,45.0,,,,,81.0,,,,,,,,,,69.0,43.0,,42.0,35.0
36,36.0,Jaylon Johnson,CB,37.0,22,40.0,62.0,65.0,57.0,31.0,58.0,59.0,58.0,63.0,59.0,57.0,62.0,50.0,20.0,63.0,54.0,60.0,23.0,51.0,40.0,48.0
37,37.0,J.K. Dobbins,RB,38.0,56,32.0,31.0,38.0,29.0,36.0,53.0,39.0,52.0,47.0,41.0,19.0,66.0,39.0,43.0,47.0,48.0,43.0,93.0,18.0,33.0,56.0
38,38.0,Jonathon Taylor,RB,39.0,39,,,,,,,,,,,,,,,,,,,,,
39,39.0,K.J. Hamler,WR,40.0,48,62.0,,,,,,,,,,,,,,,,,,,59.0,61.0
40,40.0,Terrell Lewis,EDGE,41.0,91,47.0,39.0,64.0,56.0,48.0,61.0,26.0,61.0,50.0,82.0,56.0,,72.0,73.0,50.0,61.0,50.0,20.0,19.0,45.0,49.0
41,41.0,Antoine Winfield Jr.,S,42.0,47,48.0,41.0,,,,,98.0,,,,,,,,,,41.0,74.0,,49.0,32.0
42,42.0,Denzel Mims,WR,43.0,30,34.0,,,,62.0,,,,,,,,52.0,55.0,,,40.0,36.0,,35.0,40.0
43,43.0,Clyde Edwards-Helaire,RB,44.0,76,46.0,51.0,,,,,,,,,,,,,,,57.0,,,44.0,69.0
44,44.0,Michael Pittman Jr.,WR,45.0,34,59.0,,,,,,,,,,,,,,,,,,30.0,57.0,74.0
45,45.0,Marlon Davidson,DT,46.0,57,51.0,78.0,34.0,65.0,51.0,68.0,48.0,68.0,60.0,49.0,65.0,91.0,41.0,45.0,60.0,92.0,53.0,67.0,,48.0,70.0
46,46.0,Jordan Elliott,DT,47.0,61,58.0,95.0,,,,,,,,,,,,,,,,99.0,,60.0,
47,47.0,Grant Delpit,S,48.0,32,23.0,14.0,14.0,17.0,11.0,9.0,16.0,7.0,5.0,9.0,15.0,10.0,11.0,11.0,5.0,8.0,29.0,35.0,14.0,25.0,36.0
48,48.0,Chase Claypool,WR,49.0,80,68.0,84.0,,,,,,,,94.0,,,,,,,64.0,79.0,66.0,62.0,87.0
49,49.0,Jordan Love,QB,50.0,67,26.0,69.0,59.0,,,,51.0,,,22.0,,61.0,,,,,25.0,10.0,31.0,28.0,17.0
