,Unnamed: 0,player,position,sportingnews,CBS,si_rank,ds1_rank,ds2_rank,JacobK,GoPats1287,JustinB,Saucey19,Pouhy,Logantooreal,rayt,username2003,emt6000,Jackd1305,Kamikaze_Justice,reuter,bleacher,si2_rank,drafttek
189,189,J.R. Reed,,,,,,,,,,,,93,,,,,,,,,
190,190,T.J. McCoy,,,,,,,,57,,57,61,,,63,61,57,,,,,
192,192,Theo Howard,,,,,,,,,,,,,,,,,,,,,
193,193,Zach Robertson,,,,,,,,,,,,,,,,,,,,,
194,194,Tre Brown,,,,,,,,,,,,,,,,,,,,,
163,163,Khalid Kareem,,,,,,93,81,,,,,,81,88,,87,,,,,
195,195,Kendrick Rogers,,,,,,,,,,,,,,,,,,,,,
196,196,Bryce Mathews,,,,,,,,,,,,,,,,,,,,,
197,197,David Reese,,,,,,,,,,,,,,,,,,,,,
198,198,Gus Lavaka,,,,,,,,,,,,,,,,,,,,,
199,199,Grant Calcaterra,,,,,,,,,,,,,,,,,,,,,
200,200,Jake Hanson,,,,,,,,83,,83,79,,,95,79,,,,,,
201,201,Tyler Vaughns,,,,,,,,,,,,,,,,,,,,,
202,202,Dane Jackson,,,,,,,,,,,,,,,,,,,,,
203,203,Mitchell Wilcox,,,,,,,,,,,,,,,,,,,,,
204,204,Jared Pinkney,,,,,,,,88,,88,62,,,,62,,,,59,,
205,205,Juwan Johnson,,,,,,,,,,,,,,,,,,,75,,
231,,Yetur Gros,,,,,,,,,,,,,,,,,,25,,,
232,,Joshua Jones,,,,,,,,,,,,,,,,,,27,,,
233,,Lloyd Cushenberr,,,,,,,,,,,,,,,,,,32,,,
152,152,Harrison Bryant,TE,,,,91,82,75,62,83,62,66,71,75,,66,71,,44,,,
235,,Clyde Edward,RB,,,,,,,,,,,,,,,,,54,,,
236,,Reggie Robinson II,CB,,,,,,,,,,,,,,,,,58,,,
78,78,Brycen Hopkins,TE,78,,87,,,,,49,,,85,,87,,,,61,33,,
237,,Matthew Peart,OT,,,,,,,,,,,,,,,,,66,,,
92,92,Jonathan Greenard,EDGE,92,,71,,,,,,,,,,60,,,,68,,69,
238,,Darrynton Evans,RB,,,,,,,,,,,,,,,,,81,,,
100,100,Darnay Holmes,CB,100,,,,,,,,,,,,,,,,84,,95,
239,,Trevis Gipson,DE,,,,,,,,,,,,,,,,,86,,,
140,140,Larrell Murchison,DT,,,,63,49,53,93,54,93,,83,53,80,,78,,91,,,
242,,Michael Ojemudia,CB,,,,,,,,,,,,,,,,,96,,,
132,132,Logan Wilson,LB,,,92,,,,,,,,,,,,,,98,,91,
243,,DaVon Hamilton,DT,,,,,,,,,,,,,,,,,100,,,
244,,Davion Taylor,LB,,,,,,,,,,,,,,,,,101,,,
223,223,Leki Fotu,DT,,,,,,,,,,,38,,,,,,102,,,
245,,LeVante Bellamy,RB,,,,,,,,,,,,,,,,,103,,,
246,,Derrek Tuszka,DL,,,,,,,,,,,,,,,,,104,,,
94,94,John Hightower,WR,94,,,,,,,,,,,,,,,,105,,,
247,,Jason Strowbridge,DT,,,,,,,,,,,,,,,,,106,,,
98,98,Van Jefferson,WR,98,,98,,,,,,,,,,,,,,,,98,
89,89,Jauan Jennings,WR,89,,,,,,,,,,,,,,,,,,,
153,153,Lynn Bowden Jr.,WR,,,,94,,90,,95,,,,90,,,,,,54,,
159,159,David Woodward,,,,,,72,60,25,72,23,17,88,60,,17,30,,,,,
161,161,Nick Harris,,,,,,89,76,,,,,,76,73,,60,,,53,,
162,162,Ezra Robinson,,,,,,92,80,,,,,,80,,,,,,,,
165,165,Terrence Steele,,,,,,99,87,,,,,,87,,,,,,,,
169,169,Gabriel Davis,,,,,,,94,,,,96,,94,,96,,,,,,
170,170,Lamar Jackson,,,,,,,95,,,,,,95,69,,72,,,,,
172,172,Evan Weaver,,,,,,,97,,,,,,97,,,67,,,71,,
173,173,Dante Olson,,,,,,,99,,,,,,99,,,,,,,,
206,206,Paulson Adebo,,,,,,,,47,,46,6,,,46,6,38,,,21,,
207,207,Jack Anderson,,,,,,,,51,,50,48,,,74,48,47,,,,,
208,208,Rico Bussey Jr.,,,,,,,,69,,69,69,,,,69,73,,,,,
209,209,Saadiq Charles,,,,,,,,70,,70,52,,,,52,68,,,,,
210,210,Greg Eisworth,,,,,,,,71,,71,75,,,76,75,74,,,,,
211,211,LaBryan Ray,,,,,,,,72,,72,77,,,77,77,75,,,,,
212,212,Steven Gonzalez,,,,,,,,76,,76,,,,,,,,,,,
213,213,Lavert Hill,,,,,,,,79,,79,,,,85,,80,,,,,
215,215,TreVour Wallace-Simms,,,,,,,,89,,89,64,,,93,64,,,,,,
216,216,Charlie Woerner,,,,,,,,90,,90,83,,,,83,,,,,,
217,217,Sam Williams,,,,,,,,91,,91,95,,,,95,94,,,,,
218,218,Joe Bachie,,,,,,,,94,,94,87,,,,87,,,,,,
219,219,Tony Pride,,,,,,,,,99,,,,,,,,,,,,
220,220,Nyles Pinckney,,,,,,,,,,,81,,,,81,,,,,,
221,221,Kelvin Smith,,,,,,,,,,,88,,,,88,,,,,,
222,222,Cohl Cabral,,,,,,,,,,,94,,,,94,,,,,,
224,224,Chuba Hubbard,,,,,,,,,,,,,,45,,,,,32,,
226,226,Devonta Smith,,,,,,,,,,,,,,64,,,,,,,
227,227,Kennedy McCoy,,,,,,,,,,,,,,,,,,,,,
228,228,Jalen Elliott,,,,,,,,,,,,,,,,,,,,,
229,229,Justin Strnad,,,,,,,,,,,,,,,,,,,,,
248,,Jedrick Wills Jr.,,,,,,,,,,,,,,,,,,,8,,
249,,DeVonta Smith,,,,,,,,,,,,,,,,,,,23,,
250,,Alex Leatherwood,,,,,,,,,,,,,,,,,,,36,,
251,,Sage Surratt,,,,,,,,,,,,,,,,,,,37,,
252,,Creed Humphrey,,,,,,,,,,,,,,,,,,,38,,
253,,Travis Etienne,,,,,,,,,,,,,,,,,,,40,,
254,,Charleston Rambo,,,,,,,,,,,,,,,,,,,57,,
255,,Richard LeCounte,,,,,,,,,,,,,,,,,,,58,,
256,,Monty Rice,,,,,,,,,,,,,,,,,,,63,,
257,,Ke'Shawn Vaughn,,,,,,,,,,,,,,,,,,,68,,
258,,Markus Bailey,,,,,,,,,,,,,,,,,,,73,,
