,player,position,sportingnews,CBS,si_rank,ds1_rank,ds2_rank,JacobK,FATSAK,GoPats1287,JustinB,Saucey19,Pouhy,Logantooreal,rayt,username2003,VFarm1990,bkru3813,emt6000,Jackd1305,Kamikaze_Justice
76,Prince Tega Wanogho,OT,76.0,52,90.0,53.0,40.0,40.0,47.0,37.0,52.0,37.0,33.0,52.0,40.0,42.0,34.0,38.0,33.0,33.0,63.0
77,Jeremy Chinn,S,77.0,29,53.0,,,,,,,,,,,,,,,,
78,Brycen Hopkins,TE,78.0,,87.0,,,,,,49.0,,,85.0,,87.0,,,,,
79,Tyler Johnson,WR,79.0,58,100.0,77.0,56.0,42.0,,,78.0,,85.0,56.0,42.0,43.0,,,85.0,64.0,
80,Damon Arnette,CB,80.0,100,45.0,52.0,,,,,34.0,,,100.0,,68.0,,,,,65.0
81,Solomon Kindley,G,81.0,,,37.0,24.0,32.0,32.0,38.0,22.0,38.0,37.0,60.0,33.0,34.0,55.0,58.0,37.0,52.0,37.0
82,Lucas Niang,OT,82.0,46,67.0,,,,72.0,85.0,,85.0,,,,92.0,60.0,62.0,,90.0,54.0
83,Robert Hunt,G,83.0,92,77.0,,,98.0,,,,,,,98.0,,,,,,
84,Jake Fromm,QB,84.0,104,82.0,30.0,91.0,91.0,14.0,33.0,,33.0,20.0,73.0,91.0,19.0,9.0,10.0,20.0,37.0,90.0
85,Adam Trautman,TE,85.0,106,66.0,,,,,,,,,,,,,,,,86.0
86,Netane Muti,G,86.0,71,97.0,56.0,94.0,83.0,,,92.0,,,,83.0,,,,,,28.0
87,K.J. Hill,WR,87.0,103,,,,,84.0,,,,,,,,,,,,
88,Jack Driscoll,OT,88.0,74,,,,,,,,,,,,,,,,,
89,Jauan Jennings,WR,89.0,,,,,,,,,,,,,,,,,,
90,Matt Peart,OT,90.0,75,64.0,89.0,51.0,41.0,,,68.0,,,67.0,41.0,,,,,,
91,Troy Pride Jr.,CB,91.0,83,74.0,,,,,,,,,,,,,,,,
92,Jonathan Greenard,EDGE,92.0,,71.0,,,,,,,,,,,60.0,,,,,
93,John Simpson,G,93.0,,,85.0,,,,,85.0,,,,,,,,,,84.0
94,John Hightower,WR,94.0,,,,,,,,,,,,,,,,,,
95,Darrell Taylor ,EDGE,95.0,68,,,,,,,,,,,,,,,,,
96,Jonah Jackson,G,96.0,49,94.0,,,,,,,,,,,,,,,,
97,Ben Bartch,OT,97.0,73,,,87.0,,,,,,,99.0,,,,,,,
98,Van Jefferson,WR,98.0,,98.0,,,,,,,,,,,,,,,,
99,Trey Adams,OT,99.0,,,40.0,20.0,20.0,26.0,32.0,31.0,31.0,57.0,39.0,25.0,13.0,30.0,13.0,57.0,16.0,85.0
100,Darnay Holmes,CB,100.0,,,,,,,,,,,,,,,,,,
101,Ashtyn Davis,S,,41,55.0,76.0,54.0,46.0,,,60.0,,,80.0,46.0,56.0,,,,50.0,83.0
102,Willie Gay Jr.,LB,,53,95.0,,,,,,,,,,,,,,,,
103,Josh Uche,EDGE,,55,70.0,,75.0,82.0,,,,,,64.0,82.0,,,,,,
104,Akeem Davis-Gather,LB,,62,,,,,,,,,,,,,,,,,
105,Terrell Burgess,S,,69,93.0,,,,,,,,,,,,,,,,
106,Geno Stone,S,,77,,,,,,,,,,,,,,,,,
107,Matt Hennessy,OL,,82,80.0,97.0,95.0,84.0,,,96.0,,,,84.0,,,,,,
108,Troy Dye,LB,,84,78.0,64.0,63.0,54.0,69.0,17.0,64.0,14.0,,75.0,54.0,55.0,61.0,63.0,,19.0,67.0
109,Davon Hamilton,DL,,85,,,,,,,,,,,,,,,,,
110,Damien Lewis,OL,,88,96.0,,,,,,,,,,,,,,,,
111,Amik Robertson,CB,,89,91.0,,86.0,68.0,,,,,,89.0,68.0,,,,,,
112,K'Von Wallace,S,,90,,,,,,,,,,,,,,,,,
113,Hakeem Adeniji,OL,,94,,73.0,67.0,50.0,,,66.0,,,72.0,50.0,47.0,,,,,73.0
114,Kenny Willekes,EDGE,,95,99.0,,,,56.0,60.0,,60.0,56.0,,,52.0,57.0,21.0,56.0,49.0,
115,Saahdiq Charles,OL,,98,,,,,60.0,,,,,,,,45.0,49.0,,,
116,Logan Wilkins,LB,,99,,,,,,,,,,,,,,,,,
117,Antonio Gibson,RB,,101,,,,,,,,,,,,,,,,,
118,Alex Highsmith,EDGE,,105,,,79.0,70.0,,,,,,97.0,70.0,,,,,,
119,Jeffrey Okudah,,,,3.0,7.0,3.0,3.0,,15.0,3.0,12.0,86.0,3.0,4.0,6.0,,,86.0,6.0,10.0
120,CeeDee Lamb,,,,9.0,,,,,,,,,,,,,,,,
121,K’Lavon Chaisson,,,,17.0,,,,,,,,,,,,,,,,
122,D’Andre Swift,,,,22.0,,,,,,,,,,,,,,,,
123,Xavier McKinney,,,,25.0,21.0,23.0,24.0,,55.0,20.0,55.0,73.0,14.0,16.0,25.0,,,73.0,41.0,39.0
124,Jonathan Taylor,,,,27.0,19.0,32.0,39.0,16.0,8.0,18.0,25.0,13.0,47.0,20.0,30.0,13.0,8.0,13.0,26.0,35.0
125,Zack Baun,,,,37.0,86.0,,,,,,,,32.0,,,,,,,36.0
126,Laviska Shenault,,,,39.0,55.0,21.0,21.0,10.0,24.0,30.0,22.0,12.0,16.0,26.0,12.0,15.0,23.0,12.0,15.0,44.0
127,Lloyd Cushenberry,,,,63.0,70.0,,,,,70.0,,,,,,,,,,45.0
128,Donovan Peoples-Jones,,,,76.0,,,,,,,,,98.0,,,,,,,58.0
129,Darrell Taylor,,,,81.0,,,,,,,,,,,,90.0,91.0,,,100.0
130,Jordyn Brooks,,,,86.0,43.0,30.0,30.0,,,38.0,,,55.0,31.0,59.0,,,,,59.0
131,Akeem Davis-Gaither,,,,88.0,,,,,,,,,,,,,,,,
132,Logan Wilson,,,,92.0,,,,,,,,,,,,,,,,
133,D'Andre Swift,,,,,26.0,61.0,,23.0,27.0,45.0,32.0,22.0,29.0,,50.0,22.0,19.0,22.0,35.0,42.0
134,Thaddeus Moss,,,,,36.0,48.0,,,,74.0,,,48.0,,,,,,,97.0
135,Albert Okwuegbunan,,,,,47.0,66.0,49.0,17.0,22.0,43.0,20.0,14.0,66.0,49.0,27.0,14.0,15.0,14.0,24.0,52.0
136,Shane Lemieux,,,,,54.0,58.0,47.0,,77.0,44.0,77.0,82.0,65.0,47.0,40.0,,,82.0,76.0,47.0
137,Shane Lemieux,,,,,54.0,58.0,47.0,,77.0,44.0,77.0,82.0,65.0,47.0,79.0,,,82.0,76.0,47.0
138,Michael Pittman,,,,,59.0,77.0,71.0,,,73.0,,,84.0,71.0,,,,,,62.0
139,Jacob Phillips,,,,,60.0,76.0,,43.0,49.0,86.0,48.0,38.0,,,,68.0,70.0,38.0,69.0,70.0
140,Larrell Murchison,,,,,63.0,49.0,53.0,,93.0,54.0,93.0,,83.0,53.0,80.0,,,,78.0,
141,KJ Hamler,,,,,66.0,68.0,66.0,,,67.0,,,40.0,66.0,41.0,,,,86.0,87.0
142,Calvin Throckmorton,,,,,68.0,80.0,69.0,54.0,52.0,75.0,51.0,53.0,51.0,69.0,48.0,43.0,47.0,53.0,55.0,75.0
143,Ben Bredeson,,,,,71.0,45.0,,63.0,45.0,47.0,44.0,42.0,,,57.0,48.0,52.0,42.0,46.0,88.0
144,Jake Breeland,,,,,74.0,73.0,64.0,45.0,,76.0,,91.0,79.0,64.0,86.0,29.0,34.0,91.0,85.0,74.0
145,Harrison Hand,,,,,75.0,84.0,85.0,,,79.0,,,,85.0,,,,,,71.0
146,Rashard Lawrence,,,,,80.0,78.0,73.0,71.0,56.0,77.0,56.0,44.0,90.0,73.0,71.0,70.0,71.0,44.0,56.0,
147,James Lynch,,,,,82.0,,,,,87.0,,,,,,,,,,82.0
148,Collin Johnson,,,,,83.0,,,29.0,44.0,88.0,43.0,40.0,70.0,,75.0,35.0,39.0,40.0,40.0,
149,Eno Benjamin,,,,,87.0,90.0,78.0,,,91.0,,,68.0,78.0,,,,,,92.0
150,Logan Stenberg,,,,,88.0,,89.0,,,93.0,,,,89.0,,,,,,91.0
