player,position_x,sportingnews,CBS,si_rank,ds1_rank,ds2_rank,JacobK,JustinB,Saucey19,Pouhy,Logantooreal,rayt,username2003,emt6000,Jackd1305,Kamikaze_Justice,reuter,bleacher,si2_rank,drafttek,draftgeek_x,pft,cbs_wilson
Cole Kmet,S,,41,55,76,54,46,60,,,80,46,56,,50,83,,,56,98,,,36
Chase Claypool,G,93,,,85,,,85,,,,,,,,84,,43,,60,,,68
Khalid Kareem,OT,99,,,40,20,20,31,31,57,39,25,13,57,16,85,,,,,,,
Bryan Edwards,TE,85,106,66,,,,,,,,,,,,86,90,,68,99,,,
Ben Bredeson,WR,40,48,62,66,68,66,67,,,40,66,41,,86,87,59,,59,61,,,
Matt Hennessy,G,,,,71,45,,47,44,42,,,57,42,46,88,85,49,,86,,,88
Lucas Niang,LB,18,14,18,81,83,,84,,,31,,,,,89,28,,18,21,24,,28
Logan Wilson,QB,84,104,82,30,91,91,,33,20,73,91,19,20,37,90,75,42,85,63,,,
Amik Robertson,OL,,,,88,,89,93,,,,89,,,,91,,,,91,,,
Reggie Robinson II,RB,,,,87,90,78,91,,,68,78,,,,92,,,,,,,
Leki Fotu,S,66,50,56,,,,,,,61,,,,,93,89,,52,46,,,
Jalen Hurts,EDGE,69,,72,100,85,72,90,,,,72,,,,94,78,50,78,,,,96
Bradlee Anae,OT,,,,,,,,35,30,,,39,30,42,95,,,,75,,,
Lynn Bowden Jr.,OL,,,,98,96,86,97,86,,,86,83,,83,96,,,,,,,
Nick Harris,TE,,,,36,48,,74,,,48,,,,,97,,,,,,,
Trevis Gipson,CB,34,43,36,96,81,67,80,,,35,67,,,,98,34,,27,58,32,32,25
Davion Taylor,DL,,,,99,98,77,,,,96,77,,,,99,,,,,,,
Michael Ojemudia,EDGE,95,68,81,,,,,,,,,,,,100,80,72,96,100,,,
Devin Duvernay,CB,3,5,3,7,3,3,3,12,86,3,4,6,6,10,,3,4,3,6,3,5,3
Jeremy Chinn,G,83,92,77,,,98,,,,,98,,,,,,,73,,,,43
Deandre Swift,EDGE,,55,70,,75,82,,,,64,82,,,,,56,,61,83,,,53
K.J. Hamler,DT,47,61,58,95,,,,,,,,,,,,99,,60,,,,59
Kyle Dugger,LB,,53,95,,,,,,,,,,,,,,,80,,,,61
Tyler Johnson,,,,,,,,,,,,,,,,,,,,,,,64
Akeem Davis-Gather,RB,56,96,85,,,,,,,,,,,,,72,76,88,90,,,65
Darrell Taylor ,OL,,88,96,,,,,,,,,,,,,69,,97,73,,,69
Ben Bartch,WR,98,,98,,,,,,,,,,,,,,,98,,,,73
Jack Driscoll,EDGE,92,,71,,,,,,,,,60,,,,68,,69,,,,75
Matt Peart,S,,69,93,,,,,,,,,,,,,39,64,90,,,,77
Geno Stone,DL,,85,,,,,,,,,,,,,,,,100,72,,,78
Troy Pride Jr.,G,96,49,94,,,,,,,,,,,,,95,,,,,,80
Troy Dye,,,,,,,,,,,,,,,,,,,,,,,83
K'Von Wallace,,,,,,93,81,,,,,81,88,,87,,,,,,,,86
Hunter Bryant,WR,75,70,89,,,,,,,,,,,,,,47,89,,,,87
Hakeem Adeniji,OL,,82,80,97,95,84,96,,,,84,,,,,57,44,82,,,,89
Kenny Willekes,LB,,,92,,,,,,,,,,,,,98,,91,,,,91
Tyler Biadasz,CB,,89,91,,86,68,,,,89,68,,,,,70,,75,,,,92
Saahdiq Charles,CB,,,,,,,,,,,,,,,,58,,,,,,93
Logan Wilkins,DT,,,,,,,,,,38,,,,,,102,,,,,,94
Antonio Gibson,WR,,,,94,,90,95,,,,90,,,,,,54,,,,,97
K.J. Hill,,,,,,89,76,,,,,76,73,,60,,,53,,,,,98
Jake Fromm,DE,,,,,,,,,,,,,,,,86,,,,,,99
Alex Highsmith,LB,,,,,,,,,,,,,,,,101,,,,,,100
Adam Trautman,CB,,,,,,,,,,,,,,,,96,,,,,,101
Solomon Kindley,S,77,29,53,,,,,,,,,,,,,50,,47,95,,,
Shane Lemieux,WR,79,58,100,77,56,42,78,,85,56,42,43,85,64,,,,,80,,,
James Lynch,LB,,62,88,,,,,,,,,,,,,88,,79,,,,72
Khalil Davis,OT,97,73,,,87,,,,,99,,,,,,60,,,,,,
Darryl Williams,OT,88,74,,,,,,,,,,,,,,,,,,,,
McTelvin Agim,OT,90,75,64,89,51,41,68,,,67,41,,,,,,45,70,,,,
Donovan Peoples-Jones,S,,77,,,,,,,,,,,,,,,,,,,,
Anfernee Jennings,CB,91,83,74,,,,,,,,,,,,,77,,76,,,,
Logan Stenberg,S,,90,,,,,,,,,,,,,,53,,,,,,
Carlos Davis,TE,72,93,,,,,,,,,,,,,,73,,,53,,,
Shyheim Carter,EDGE,,95,99,,,,,60,56,,,52,56,49,,,,,,,,
Jacob Phillips,OL,,98,,,,,,,,,,,,,,,,,,,,
Alton Robinson,LB,,99,,,,,,,,,,,,,,,,,,,,
Albert Okwuegbunan,RB,,101,,,,,,,,,,,,,,,,,,,,
Harrison Hand,WR,87,103,,,,,,,,,,,,,,,,99,,,,
Jake Breeland,EDGE,,105,,,79,70,,,,97,70,,,,,92,,,,,,
Calvin Throckmorton,,,,,,,,,,,,,,,,,,,,65,,,
Trey Adams,DL,,,,,,,,84,84,,,,84,,,,,,78,,,
Eno Benjamin,LB,,,,,60,,94,24,28,91,,33,28,28,,,60,,89,,,
Yasir Durant,DL,,,,,,,,,,,,,,,,,,,92,,,
Thaddeus Moss,CB,,,,,97,,100,92,89,87,,,89,95,,,,,93,,,
Benito Jones,EDGE,67,,,,,,,78,76,,,82,76,81,,,,,96,,,
Paddy Fisher,LB,,,,,,,,65,49,,,89,49,88,,,,,,,,
Collin Johnson,WR,,,,83,,,88,43,40,70,,75,40,40,,,,,,,,
Nick Coe,EDGE,,,,,69,59,,19,29,57,59,29,29,29,,,,,,,,
Dylan Moses,LB,,,,,,,,53,59,,,67,59,59,,,,,,,,
Tommy Kraemer,OL,,,,,,,,21,21,,,72,21,27,,,,,,,,
Shaquille Quarterman,LB,,,,,88,74,89,45,34,92,74,,34,65,,,,,,,,
Antonio Gandy Golden,WR,,,,90,47,31,57,26,35,54,32,28,35,25,,,,,,,,
Stanford Samuels,CB,,,,,55,45,82,28,19,63,45,53,19,63,,,,,,,,
Tylan Wallace,WR,,,,,,,,17,9,,,,9,62,,,,,,,,
T.J. Carter,EDGE,,,,,,,,,,,,,,,,,,,,,,
Michael Pinckney,LB,,,,,,93,,49,43,,93,,43,70,,,,,,,,
Najee Harris,RB,,,,,,,,87,68,,,,68,,,,28,,,,,
Tarik Black,WR,,,,,,,,96,93,,,,93,,,,,,,,,
Marvin Wilson,DT,,,,,,,,36,32,,,38,32,36,,,,,,,,
Mike Hampton,CB,,,,,,,,73,72,,,,72,84,,,,,,,,
Chase Lucas,,,,,,,,,,65,,,,65,,,,,,,,,
Jabril Cox,LB,,,,,,,,74,71,,,,71,91,,,,,,,,
DeMarkus Acy,S,,,,,,,,81,74,,,,74,93,,,,,,,,
Rashad Robinson,CB,,,,,,96,,67,67,,96,90,67,89,,,,,,,,
Brandon Jones,S,,,,,,92,,42,45,,92,51,45,39,,,69,,,,,
Rashard Lawrence,DL,,,,80,78,73,77,56,44,90,73,71,44,56,,,,,,,,
J.R. Reed,,,,,,,,,,,93,,,,,,,,,,,,
T.J. McCoy,OL,,,,,,,,57,61,,,63,61,57,,,,,,,,
Theo Howard,,,,,,,,,,,,,,,,,,,,,,,
Zach Robertson,,,,,,,,,,,,,,,,,,,,,,,
Tre Brown,,,,,,,,,,,,,,,,,,,,,,,
Kendrick Rogers,,,,,,,,,,,,,,,,,,,,,,,
Bryce Mathews,,,,,,,,,,,,,,,,,,,,,,,
David Reese,,,,,,,,,,,,,,,,,,,,,,,
Gus Lavaka,,,,,,,,,,,,,,,,,,,,,,,
Grant Calcaterra,,,,,,,,,,,,,,,,,,,,,,,
Jake Hanson,OL,,,,,,,,83,79,,,95,79,,,,,,,,,
Tyler Vaughns,,,,,,,,,,,,,,,,,,,,,,,
Dane Jackson,,,,,,,,,,,,,,,,,,,,,,,
Mitchell Wilcox,,,,,,,,,,,,,,,,,,,,,,,
Jared Pinkney,TE,,,,,,,,88,62,,,,62,,,,59,,,,,
Juwan Johnson,,,,,,,,,,,,,,,,,,75,,,,,
Harrison Bryant,TE,,,,91,82,75,83,62,66,71,75,,66,71,,44,,,,,,
Brycen Hopkins,TE,78,,87,,,,49,,,85,,87,,,,61,33,,,,,
Matthew Peart,OT,,,,,,,,,,,,,,,,66,,,,,,
Darrynton Evans,RB,,,,,,,,,,,,,,,,81,,,,,,
Darnay Holmes,CB,100,,,,,,,,,,,,,,,84,,95,,,,
Larrell Murchison,DT,,,,63,49,53,54,93,,83,53,80,,78,,91,,,,,,
DaVon Hamilton,DT,,,,,,,,,,,,,,,,100,,,,,,
LeVante Bellamy,RB,,,,,,,,,,,,,,,,103,,,,,,
Derrek Tuszka,DL,,,,,,,,,,,,,,,,104,,,,,,
John Hightower,WR,94,,,,,,,,,,,,,,,105,,,,,,
Jason Strowbridge,DT,,,,,,,,,,,,,,,,106,,,,,,
Jauan Jennings,WR,89,,,,,,,,,,,,,,,,,,,,,
David Woodward,LB,,,,,72,60,72,23,17,88,60,,17,30,,,,,,,,
Ezra Robinson,CB,,,,,92,80,,,,,80,,,,,,,,,,,
Terrence Steele,OL,,,,,99,87,,,,,87,,,,,,,,,,,
Gabriel Davis,WR,,,,,,94,,,96,,94,,96,,,,,,,,,
Lamar Jackson,CB,,,,,,95,,,,,95,69,,72,,,,,,,,
Evan Weaver,LB,,,,,,97,,,,,97,,,67,,,71,,,,,
Dante Olson,LB,,,,,,99,,,,,99,,,,,,,,,,,
Paulson Adebo,CB,,,,,,,,46,6,,,46,6,38,,,21,,,,,
Jack Anderson,G,,,,,,,,50,48,,,74,48,47,,,,,,,,
Rico Bussey Jr.,WR,,,,,,,,69,69,,,,69,73,,,,,,,,
Saadiq Charles,OT,,,,,,,,70,52,,,,52,68,,,,,,,,
Greg Eisworth,S,,,,,,,,71,75,,,76,75,74,,,,,,,,
LaBryan Ray,DL,,,,,,,,72,77,,,77,77,75,,,,,,,,
Steven Gonzalez,OL,,,,,,,,76,,,,,,,,,,,,,,
Lavert Hill,CB,,,,,,,,79,,,,85,,80,,,,,,,,
TreVour Wallace-Simms,OL,,,,,,,,89,64,,,93,64,,,,,,,,,
Charlie Woerner,TE,,,,,,,,90,83,,,,83,,,,,,,,,
Sam Williams,OL,,,,,,,,91,95,,,,95,94,,,,,,,,
Joe Bachie,LB,,,,,,,,94,87,,,,87,,,,,,,,,
Tony Pride,,,,,,,,99,,,,,,,,,,,,,,,
Nyles Pinckney,DT,,,,,,,,,81,,,,81,,,,,,,,,
Kelvin Smith,FB,,,,,,,,,88,,,,88,,,,,,,,,
Cohl Cabral,OL,,,,,,,,,94,,,,94,,,,,,,,,
Chuba Hubbard,RB,,,,,,,,,,,,45,,,,,32,,,,,
Devonta Smith,WR,,,,,,,,,,,,64,,,,,23,,,,,
Kennedy McCoy,,,,,,,,,,,,,,,,,,,,,,,
Jalen Elliott,,,,,,,,,,,,,,,,,,,,,,,
Justin Strnad,,,,,,,,,,,,,,,,,,,,,,,
Alex Leatherwood,,,,,,,,,,,,,,,,,,36,,,,,
Sage Surratt,,,,,,,,,,,,,,,,,,37,,,,,
Creed Humphrey,,,,,,,,,,,,,,,,,,38,,,,,
Travis Etienne,,,,,,,,,,,,,,,,,,40,,,,,
Charleston Rambo,,,,,,,,,,,,,,,,,,57,,,,,
Richard LeCounte,,,,,,,,,,,,,,,,,,58,,,,,
Monty Rice,,,,,,,,,,,,,,,,,,63,,,,,
Ke'Shawn Vaughn,,,,,,,,,,,,,,,,,,68,,,,,
Markus Bailey,,,,,,,,,,,,,,,,,,73,,,,,
